run_id,site,completion_segment,field_count,fraction
520254b7-80dc-44fb-96b2-c16194a15b5d,stampede3,error_or_unresolved,17,0.1069182389937107
520254b7-80dc-44fb-96b2-c16194a15b5d,stampede3,measured_correctly,47,0.29559748427672955
520254b7-80dc-44fb-96b2-c16194a15b5d,stampede3,recovered_documentation,60,0.37735849056603776
520254b7-80dc-44fb-96b2-c16194a15b5d,stampede3,recovered_pilot,6,0.03773584905660377
56af287d-6558-45d5-95e6-62316d69d0fd,stampede3,correct_abstention,27,0.16981132075471697
56af287d-6558-45d5-95e6-62316d69d0fd,stampede3,error_or_unresolved,14,0.0880503144654088
56af287d-6558-45d5-95e6-62316d69d0fd,stampede3,measured_correctly,47,0.29559748427672955
56af287d-6558-45d5-95e6-62316d69d0fd,stampede3,recovered_documentation,63,0.39622641509433965
56af287d-6558-45d5-95e6-62316d69d0fd,stampede3,recovered_pilot,8,0.050314465408805034
581c98d5-47d8-4b8c-96d5-54f44deef27c,stampede3,correct_abstention,29,0.18238993710691823
581c98d5-47d8-4b8c-96d5-54f44deef27c,stampede3,error_or_unresolved,18,0.11320754716981132
581c98d5-47d8-4b8c-96d5-54f44deef27c,stampede3,measured_correctly,47,0.29559748427672955
581c98d5-47d8-4b8c-96d5-54f44deef27c,stampede3,recovered_documentation,59,0.3710691823899371
581c98d5-47d8-4b8c-96d5-54f44deef27c,stampede3,recovered_pilot,6,0.03773584905660377
5d32674b-4822-4d81-8fc3-4cd7a4800841,notre-dame-crc,correct_abstention,4,0.058823529411764705
5d32674b-4822-4d81-8fc3-4cd7a4800841,notre-dame-crc,error_or_unresolved,14,0.20588235294117646
5d32674b-4822-4d81-8fc3-4cd7a4800841,notre-dame-crc,measured_correctly,26,0.38235294117647056
5d32674b-4822-4d81-8fc3-4cd7a4800841,notre-dame-crc,recovered_documentation,17,0.25
5d32674b-4822-4d81-8fc3-4cd7a4800841,notre-dame-crc,recovered_pilot,7,0.10294117647058823
5da56bd5-c76b-43ca-8fb2-1ec02e3fc50f,notre-dame-crc,correct_abstention,4,0.058823529411764705
5da56bd5-c76b-43ca-8fb2-1ec02e3fc50f,notre-dame-crc,error_or_unresolved,25,0.36764705882352944
