run_id,site,model,mode,rep,analysis_weight,evaluated_fields,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value,field_accuracy,precision,recall,abstention_accuracy,false_abstention_rate,unsupported_fill_rate,predicted_abstention_rate,ground_truth_absent_fraction
e8163b74-e31f-485e-af99-43240263de3b,anvil,gemini-3.6-flash,expanded,3,0.3333333333333333,147,103,31,0,12,1,0.9115646258503401,0.9903846153846154,0.8956521739130435,0.96875,0.10434782608695652,0.03125,0.2925170068027211,0.21768707482993196
478201f6-69a8-46c5-9d49-4c42083e29b0,anvil,gemini-3.1-pro-preview,expanded,3,0.3333333333333333,147,105,31,1,9,1,0.9251700680272109,0.9813084112149533,0.9130434782608695,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.21768707482993196
25b44ee9-4311-421f-bce1-450072957450,anvil,gpt-5-mini,full-corpus,1,1.0,147,99,31,3,13,1,0.8843537414965986,0.9611650485436893,0.8608695652173913,0.96875,0.11304347826086956,0.03125,0.29931972789115646,0.21768707482993196
7b8a00e1-be3c-44ce-a421-b7643f025dd5,anvil,gpt-5.6-terra,full-corpus,1,1.0,147,101,31,0,14,1,0.8979591836734694,0.9901960784313726,0.8782608695652174,0.96875,0.12173913043478261,0.03125,0.30612244897959184,0.21768707482993196
fad89ece-d1f5-45d9-8eae-7a79dca29fc9,anvil,gemini-3.6-flash,full-corpus,1,1.0,147,101,31,0,14,1,0.8979591836734694,0.9901960784313726,0.8782608695652174,0.96875,0.12173913043478261,0.03125,0.30612244897959184,0.21768707482993196
aa147858-2b1e-4819-9bf9-98d66317e639,anvil,gemini-3.1-pro-preview,full-corpus,1,1.0,147,101,31,0,14,1,0.8979591836734694,0.9901960784313726,0.8782608695652174,0.96875,0.12173913043478261,0.03125,0.30612244897959184,0.21768707482993196
a807bd27-dcab-4b03-895a-86727654a945,anvil,gpt-5-mini,expanded,1,0.3333333333333333,147,102,31,3,10,1,0.9047619047619048,0.9622641509433962,0.8869565217391304,0.96875,0.08695652173913043,0.03125,0.2789115646258503,0.21768707482993196
4ef11bb0-5c0b-4b68-a21a-91db5aff094c,anvil,gemini-3.1-pro-preview,expanded,1,0.3333333333333333,147,105,31,1,9,1,0.9251700680272109,0.9813084112149533,0.9130434782608695,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.21768707482993196
7761f209-a1e0-49b5-94af-0f21ac576f53,anvil,gpt-5-mini,expanded,2,0.3333333333333333,147,100,31,2,13,1,0.891156462585034,0.970873786407767,0.8695652173913043,0.96875,0.11304347826086956,0.03125,0.29931972789115646,0.21768707482993196
e20c16c9-c33a-41e3-bfe9-efa4f1180456,anvil,gpt-5-mini,expanded,3,0.3333333333333333,147,102,31,4,9,1,0.9047619047619048,0.9532710280373832,0.8869565217391304,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.21768707482993196
1bb76635-26dd-45b4-9ca2-d61a259f1792,stampede3,gpt-5-mini,bm25,1,1.0,159,120,29,3,5,2,0.9371069182389937,0.96,0.9375,0.9354838709677419,0.0390625,0.06451612903225806,0.2138364779874214,0.1949685534591195
1d59678f-79e7-4489-8161-aecd50aef58e,stampede3,gpt-5.6-terra,bm25,1,1.0,159,119,30,3,6,1,0.9371069182389937,0.967479674796748,0.9296875,0.967741935483871,0.046875,0.03225806451612903,0.22641509433962265,0.1949685534591195
b4ad3fbc-b5ff-4e8f-922e-6c8580c56439,stampede3,gemini-3.6-flash,bm25,1,1.0,159,119,29,3,6,2,0.9308176100628931,0.9596774193548387,0.9296875,0.9354838709677419,0.046875,0.06451612903225806,0.22012578616352202,0.1949685534591195
